Day Index,Exportaciones,Importaciones,Comercio total,Balanza comercial
2008,1385.101,501.219,1886.32,883.882
2009,1192.089,499.464,1691.553,692.625
2010,1467.898,488.374,1956.272,979.524
2011,1787.307,543.323,2330.63,1243.984
2012,1827.256,611.724,2438.98,1215.532
2013,1734.593,528.828,2263.421,1205.765
2014,1790.448,489.559,2280.007,1300.889
2015,1817.585,461.201,2278.786,1356.384
2016,1713.919,487.829,2201.748,1226.09
2017,1721.688,527.75,2249.438,1193.938
2018,1954.513,535.834,2490.347,1418.679
