Day Index,Importaciones,Exportaciones
01/01/2008,65994,206944
02/01/2008,61854,238370
03/01/2008,85504,228075
04/01/2008,65069,281077
05/01/2008,153858,259659
06/01/2008,54346,224054
07/01/2008,109462,271177
08/01/2008,161005,255468
09/01/2008,97317,302738
10/01/2008,55896,276457
11/01/2008,78676,263121
12/01/2008,82559,225292
01/01/2009,47436,201762
02/01/2009,41753,174450
03/01/2009,51941,198651
04/01/2009,53091,163698
05/01/2009,40005,194703
06/01/2009,49294,223760
07/01/2009,52197,218507
08/01/2009,38427,219621
09/01/2009,57620,210933
10/01/2009,45994,225585
11/01/2009,75740,211871
12/01/2009,65574,246999
01/01/2010,36560,202611
02/01/2010,43306,281208
03/01/2010,64713,307330
04/01/2010,61227,273905
05/01/2010,77706,282762
06/01/2010,70516,354092
07/01/2010,76975,306300
08/01/2010,91754,315877
09/01/2010,65992,339347
10/01/2010,90447,350645
11/01/2010,52978,335905
12/01/2010,63161,407154
01/01/2011,42483,313032
02/01/2011,50907,393336
03/01/2011,98240,459085
04/01/2011,62314,449204
05/01/2011,70001,476689
06/01/2011,71263,561143
07/01/2011,63035,462156
08/01/2011,68625,536769
09/01/2011,85739,558213
10/01/2011,60528,522688
11/01/2011,92925,502182
12/01/2011,58446,398141
01/01/2012,50401,413067
02/01/2012,60857,465756
03/01/2012,93213,549121
04/01/2012,69269,536083
05/01/2012,72336,556024
06/01/2012,74790,468430
07/01/2012,77241,443692
08/01/2012,86964,466025
09/01/2012,71844,459395
10/01/2012,94898,448986
11/01/2012,56058,400317
12/01/2012,69194,385364
01/01/2013,62622,342945
02/01/2013,84430,324426
03/01/2013,67359,429291
04/01/2013,84955,391341
05/01/2013,89928,448681
06/01/2013,81627,390202
07/01/2013,76500,443652
08/01/2013,73133,414025
09/01/2013,66879,406092
10/01/2013,82548,498933
11/01/2013,69482,339151
12/01/2013,72299,306431
01/01/2014,60855,257766
02/01/2014,84246,368264
03/01/2014,88694,365407
04/01/2014,80395,413302
05/01/2014,93449,426357
06/01/2014,74163,339086
07/01/2014,79989,437373
08/01/2014,79889,381273
09/01/2014,77353,438554
10/01/2014,88209,481108
11/01/2014,62743,460488
12/01/2014,64508,364950
01/01/2015,45960,270045
02/01/2015,64477,328712
03/01/2015,87208,318613
04/01/2015,109015,313266
05/01/2015,75553,268945
06/01/2015,106704,260425
07/01/2015,70213,304257
08/01/2015,76045,291534
09/01/2015,72814,288712
10/01/2015,80314,395801
11/01/2015,66717,330061
12/01/2015,67484,297684
01/01/2016,54632,214123
02/01/2016,65644,237493
03/01/2016,93426,335377
04/01/2016,79243,298226
05/01/2016,89180,227599
06/01/2016,85275,229244
07/01/2016,94067,217599
08/01/2016,112890,240508
09/01/2016,103992,267241
10/01/2016,106478,259291
11/01/2016,97101,285768
12/01/2016,115958,254063
01/01/2017,108322,262409
02/01/2017,137229,246571
03/01/2017,193386,315772
04/01/2017,131039,275727
05/01/2017,167890,248471
06/01/2017,149798,282339
07/01/2017,100780,258221
08/01/2017,151939,254468
09/01/2017,118220,295392
10/01/2017,167400,266903
11/01/2017,101514,236279
12/01/2017,146856,221394
01/01/2018,129543,247434
02/01/2018,158266,299649
03/01/2018,158292,322309
04/01/2018,127695,306964
05/01/2018,115295,282919
06/01/2018,168121,325688
07/01/2018,90370,307798
08/01/2018,208898,303090
09/01/2018,157628,336321
10/01/2018,205701,303977
11/01/2018,170927,295116
12/01/2018,80648,213147
01/01/2019,150965,265931
02/01/2019,131765,278226
03/01/2019,144654,306248
04/01/2019,136687,331417
