Day Index,Importaciones,Exportaciones,,,,
01/01/2008,96566,50392,,,,
02/01/2008,98342,63797,,,,
03/01/2008,104644,50515,,,,
04/01/2008,123745,89997,,,,
05/01/2008,98842,66511,,,,
06/01/2008,108221,70260,,,,
07/01/2008,96453,61688,,,,
08/01/2008,107116,68812,,,,
09/01/2008,106912,67824,,,,
10/01/2008,112793,66486,,,,
11/01/2008,96786,38501,,,,
12/01/2008,79076,47735,,,,
01/01/2009,56855,45594,,,,
02/01/2009,60904,32164,,,,
03/01/2009,130318,45888,,,,
04/01/2009,97625,36221,,,,
05/01/2009,75274,32558,,,,
06/01/2009,122695,39527,,,,
07/01/2009,110883,53957,,,,
08/01/2009,97225,58493,,,,
09/01/2009,115571,55263,,,,
10/01/2009,100337,65902,,,,
11/01/2009,50718,39318,,,,
12/01/2009,100853,70163,,,,
01/01/2010,130647,49760,,,,
02/01/2010,83139,41114,,,,
03/01/2010,110284,100084,,,,
04/01/2010,83419,49347,,,,
05/01/2010,105286,37034,,,,
06/01/2010,84582,75790,,,,
07/01/2010,70973,65915,,,,
08/01/2010,97576,80834,,,,
09/01/2010,66072,64165,,,,
10/01/2010,98912,62959,,,,
11/01/2010,134157,39003,,,,
12/01/2010,91519,52150,,,,
01/01/2011,74323,56776,,,,
02/01/2011,92265,47249,,,,
03/01/2011,99564,101723,,,,
04/01/2011,125717,48267,,,,
05/01/2011,139600,74360,,,,
06/01/2011,118377,111058,,,,
07/01/2011,90928,91879,,,,
08/01/2011,152176,117899,,,,
09/01/2011,71476,66755,,,,
10/01/2011,132295,113965,,,,
11/01/2011,147059,55139,,,,
12/01/2011,189290,107761,,,,
01/01/2012,72426,53570,,,,
02/01/2012,174473,62066,,,,
03/01/2012,138181,167033,,,,
04/01/2012,87840,60739,,,,
05/01/2012,139683,64454,,,,
06/01/2012,90317,149976,,,,
07/01/2012,85586,85887,,,,
08/01/2012,119844,185996,,,,
09/01/2012,48471,81005,,,,
10/01/2012,112292,83596,,,,
11/01/2012,122651,73282,,,,
12/01/2012,102782,128637,,,,
01/01/2013,118193,72623,,,,
02/01/2013,98294,108023,,,,
03/01/2013,69861,99995,,,,
04/01/2013,74570,116475,,,,
05/01/2013,92853,81428,,,,
06/01/2013,66567,97733,,,,
07/01/2013,76792,93226,,,,
08/01/2013,64805,90996,,,,
09/01/2013,51740,84115,,,,
10/01/2013,72412,90518,,,,
11/01/2013,72429,75086,,,,
12/01/2013,42484,94557,,,,
01/01/2014,95514,65173,,,,
02/01/2014,59943,108744,,,,
03/01/2014,82594,93713,,,,
04/01/2014,104165,99085,,,,
05/01/2014,80674,84869,,,,
06/01/2014,81832,85867,,,,
07/01/2014,63758,97597,,,,
08/01/2014,60312,77663,,,,
09/01/2014,65769,74673,,,,
10/01/2014,67867,107990,,,,
11/01/2014,69944,88319,,,,
12/01/2014,81151,132032,,,,
01/01/2015,98111,74804,,,,
02/01/2015,69307,197705,,,,
03/01/2015,111678,74403,,,,
04/01/2015,70429,64465,,,,
05/01/2015,60445,61999,,,,
06/01/2015,85387,65455,,,,
07/01/2015,68809,111877,,,,
08/01/2015,60118,82104,,,,
09/01/2015,88182,168255,,,,
10/01/2015,85132,93752,,,,
11/01/2015,73655,68886,,,,
12/01/2015,85491,102223,,,,
01/01/2016,79875,124763,,,,
02/01/2016,112939,74969,,,,
03/01/2016,74656,90507,,,,
04/01/2016,95405,53163,,,,
05/01/2016,103180,46629,,,,
06/01/2016,53793,62661,,,,
07/01/2016,58565,66595,,,,
08/01/2016,70823,77620,,,,
09/01/2016,45387,78620,,,,
10/01/2016,84781,125852,,,,
11/01/2016,56176,68351,,,,
12/01/2016,76415,65950,,,,
01/01/2017,56710,55227,,,,
02/01/2017,65973,66849,,,,
03/01/2017,68875,100187,,,,
04/01/2017,65367,60274,,,,
05/01/2017,64637,121691,,,,
06/01/2017,62841,102956,,,,
07/01/2017,47153,79681,,,,
08/01/2017,58518,98400,,,,
09/01/2017,68451,127559,,,,
10/01/2017,44784,163348,,,,
11/01/2017,83107,178980,,,,
12/01/2017,51945,155447,,,,
01/01/2018,67639,95375,,,,
02/01/2018,32205,144323,,,,
03/01/2018,54170,180384,,,,
04/01/2018,49325,166099,,,,
05/01/2018,51500,103347,,,,
06/01/2018,59839,85885,,,,
07/01/2018,49755,127343,,,,
08/01/2018,71517,120623,,,,
09/01/2018,42989,86412,,,,
10/01/2018,48506,136593,,,,
11/01/2018,122630,75867,,,,
12/01/2018,53291,100410,,,,
01/01/2019,79368,91070,,,,
02/01/2019,55884,57574,,,,
03/01/2019,60550,93959,,,,
04/01/2019,62605,84635,,,,
