Day Index,Exports,Imports,Total trade,Trade balance,IED
2008,291342.595,308603.251,599945.846,-17260.656,29468.17044
2009,229703.55,234384.972,464088.522,-4681.422,18066.23313
2010,298473.146,301481.819,599954.965,-3008.673,27259.53843
2011,349433.386,350842.876,700276.262,-1409.49,25601.39574
2012,370769.89,370751.559,741521.449,18.331,21945.48469
2013,380015.051,381210.168,761225.219,-1195.117,48399.46028
2014,396913.632,399984.336,796897.968,-3070.704,29878.86803
2015,380550.239,395234.17,775784.409,-14683.931,35774.83773
2016,373948.263,387070.453,761018.716,-13122.19,30534.37823
2017,409432.575,420394.587,829827.162,-10962.012,32914.82219
2018,450684.549,464302.367,914986.916,-13617.818,32694.12578
